NAME,RA,DEC,PMRA,PMDEC,FLUX_B,FLUX_V,FLUX_J,FLUX_H,FLUX_K
HD  71045,08 21 03.7291308489,-66 44 01.366022779,-5.256,10.053,9.52,9.48,9.414,9.407,9.43
HIP  98527,20 00 59.1738741896,-66 50 43.019600848,26.183,-10.063,8.89,8.84,8.668,8.68,8.659
HD  81142,09 20 26.3059228010,-67 22 14.483981664,-7.139,10.539,9.98,9.98,9.666,9.657,9.674
HD 148831,16 35 39.3529565226,-67 28 35.059153447,-0.079,-7.178,9.11,9.04,8.849,8.906,8.828
HD 149220,16 38 22.6435250482,-67 45 59.578636325,-1.054,-7.704,10.34,10.28,10.27,10.257,10.22
HD  74324,08 39 10.1265587036,-67 50 10.357521940,-2.534,9.564,9.4,9.35,9.225,9.227,9.213
HIP  74744,15 16 31.7741505324,-67 52 41.378942222,-10.897,-13.378,8.72,8.65,8.369,8.317,8.316
HD  81701,09 23 50.2076757331,-67 54 28.383029500,-5.164,8.438,9.49,9.42,9.354,9.362,9.33
HD 138195,15 34 59.6269556259,-68 11 10.006708526,-3.891,-11.845,9.05,9.05,8.922,8.964,8.948
HD  81816,09 24 25.6150840818,-68 11 28.965675910,-11.494,7.899,10.17,10.1,9.932,9.929,9.904
HD  96851,11 07 53.7315425609,-68 16 37.044581361,-8.166,3.669,10.26,10.22,9.81,9.818,9.807
HIP  61447,12 35 32.0121242430,-68 21 03.268628895,-12,-3.763,7.54,7.5,7.39,7.456,7.397
HD  93285,10 44 22.2364502251,-68 35 11.127454663,-9.847,7.207,8.89,8.84,8.604,8.618,8.57
HD 140430,15 48 13.8860009556,-68 36 57.050961724,-5.491,-10.994,9.35,9.31,9.203,9.177,9.151
HD  40750,05 55 02.4508779529,-68 39 16.370641146,-6.625,8.425,10.03,10.03,9.87,9.885,9.854
HIP  83446,17 03 16.3544654812,-68 50 38.176271275,-17.531,-14.221,8,7.97,7.864,7.838,7.84
HIP  45862,09 21 04.3374582883,-69 18 15.911560960,-17.094,20.771,8.1,8.05,7.898,7.951,7.897
HIP  90429,18 27 03.5148048106,-69 22 52.016784720,-1.109,-19.935,7.99,7.99,7.956,8.03,7.981
HIP 102071,20 41 06.9894351576,-69 31 16.505381343,11.762,-12.359,8.4,8.35,8.297,8.305,8.273
HIP  51843,10 35 30.3200162044,-69 49 02.752427306,-31.615,10.254,7.78,7.75,7.684,7.721,7.677
HD 144355,16 10 44.0283670345,-70 04 03.203412280,-2.404,-8.267,10.46,10.41,10.295,10.286,10.278
HIP  41451,08 27 16.7555217013,-70 05 36.537693299,-18.627,45.524,5.483,5.507,5.542,5.578,5.55
HIP  33273,06 55 15.8752704522,-70 29 20.666374552,-1.074,14.168,7.04,7.06,7.028,7.038,7.032
HIP  79838,16 17 46.6628106259,-70 45 56.816540797,-2.959,-4.678,9.55,9.53,9.535,9.577,9.518
HD 141915,15 57 00.4527074555,-70 58 37.321630878,-12.665,-6.711,8.75,8.68,8.528,8.546,8.529
HIP  83833,17 08 00.1980769973,-71 00 00.491280203,-5.191,-5.858,9.71,9.66,9.505,9.484,9.463
HD  50295,06 46 12.2777799992,-71 01 52.775171138,0.932,15.686,9.13,9.07,8.938,8.938,8.918
HIP 101643,20 36 12.4416351089,-71 15 39.924617256,15.923,-6.724,7.63,7.64,7.597,7.634,7.626
HD  76473,08 51 33.1924809047,-71 17 03.104933262,-9.869,13.73,9.63,9.62,9.491,9.492,9.468
HD 145420,16 16 48.3493855975,-71 43 58.414976265,-3.738,-9.513,9.56,9.52,9.557,9.512,9.501
HIP  81259,16 35 49.3413767910,-71 53 39.304708702,-17.725,-34.031,6.53,6.51,6.448,6.454,6.455
HD 139303,15 42 57.9786169505,-72 05 28.516619800,-2.889,-9.382,9.84,9.8,9.571,9.548,9.522
HD  90104,10 21 02.8035383726,-72 21 00.088148700,-9.642,4.978,9.57,9.53,9.414,9.452,9.401
HD  40925,05 54 56.8852517024,-72 21 44.542384045,7.89,5.834,9.86,9.86,9.891,9.882,9.87
HIP  59851,12 16 23.8134647916,-72 36 52.195338774,-31.19,-16.407,6.19,6.196,6.2,6.22,6.207
